practitioner_role_id,location_id,location_reference
097a60b8-eafe-4d7c-bb54-b4a2cd657975,f135eb7a-d19a-4fc7-9a67-56312c001995,Location/f135eb7a-d19a-4fc7-9a67-56312c001995
5abeea6b-c6ee-42d1-97e8-8769c961d16e,0e197d2b-f247-44e7-b69c-9dd4edd9544f,Location/0e197d2b-f247-44e7-b69c-9dd4edd9544f
5abeea6b-c6ee-42d1-97e8-8769c961d16e,9711bee9-c6f6-41ce-b22a-27c78c25f3bd,Location/9711bee9-c6f6-41ce-b22a-27c78c25f3bd
7b38bdd7-3980-4205-8645-1af81ebcaa43,f6b96db7-cd88-4eef-b5b8-d1edce43a249,Location/f6b96db7-cd88-4eef-b5b8-d1edce43a249
65586bc3-9b04-417d-b9da-9217a208c770,3aeeaf08-5f81-46b4-91e5-68022cb3c52e,Location/3aeeaf08-5f81-46b4-91e5-68022cb3c52e
66e75c1f-8052-4058-a9eb-74dcf327f8be,ad34fe9a-2a4f-446f-ba4f-ba5217c00537,Location/ad34fe9a-2a4f-446f-ba4f-ba5217c00537
f1b09759-592a-4668-a34e-f6e29aabe76a,a16b88d5-ddf7-4a36-a39c-eadb8e735c07,Location/a16b88d5-ddf7-4a36-a39c-eadb8e735c07
099d72ab-8d14-402b-b41d-b8a4335ec43a,6a380fa1-81b7-4c72-8d3a-492391de7ab5,Location/6a380fa1-81b7-4c72-8d3a-492391de7ab5
fbd71342-2077-4f7e-a36e-a0f723d7075c,e4557ef3-da14-4f4d-8459-d758548ef656,Location/e4557ef3-da14-4f4d-8459-d758548ef656
cfcb6b11-2424-4adc-af38-b3fdf42531a0,059862b7-5489-443b-bedf-0ca9ae8ee7f7,Location/059862b7-5489-443b-bedf-0ca9ae8ee7f7
cfcb6b11-2424-4adc-af38-b3fdf42531a0,f523678a-6c22-4112-831c-0d9b4e431230,Location/f523678a-6c22-4112-831c-0d9b4e431230
cfcb6b11-2424-4adc-af38-b3fdf42531a0,e2279d9f-a862-4bdc-a099-205bd1298388,Location/e2279d9f-a862-4bdc-a099-205bd1298388
cfcb6b11-2424-4adc-af38-b3fdf42531a0,8c0fb3c1-966b-4006-a8cd-86d89ced12ad,Location/8c0fb3c1-966b-4006-a8cd-86d89ced12ad
cfcb6b11-2424-4adc-af38-b3fdf42531a0,c81433fa-5c34-4591-9c1f-c3b3cd6ab338,Location/c81433fa-5c34-4591-9c1f-c3b3cd6ab338
cfcb6b11-2424-4adc-af38-b3fdf42531a0,2b7ad4bb-e326-486e-8a7c-368c87523a74,Location/2b7ad4bb-e326-486e-8a7c-368c87523a74
cfcb6b11-2424-4adc-af38-b3fdf42531a0,eb562e1d-ebc7-492a-af54-0ccd0b3d432d,Location/eb562e1d-ebc7-492a-af54-0ccd0b3d432d
cfcb6b11-2424-4adc-af38-b3fdf42531a0,7ee5e362-6295-4ea7-a840-c1d492998d93,Location/7ee5e362-6295-4ea7-a840-c1d492998d93
