practitioner_role_id,practitioner_id,practitioner_reference,npi,is_npi_invalid,family_name,given_name
practitioner-role-1003137936-637503,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637504,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637505,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637506,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637507,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637508,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637509,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637510,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637511,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637512,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637513,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637514,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637515,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637516,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637517,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637518,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637519,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637520,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637521,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637522,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637523,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637524,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637525,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637526,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637527,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637528,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637529,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637530,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637531,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637532,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637533,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637534,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637535,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637536,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637537,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637538,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637539,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637540,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003137936-637541,practitioner-1003137936,Practitioner/practitioner-1003137936,0,?,Oliver,Janine L
practitioner-role-1003138066-169033,practitioner-1003138066,Practitioner/practitioner-1003138066,0,?,Goers,Barbara Zee
practitioner-role-1003138066-169034,practitioner-1003138066,Practitioner/practitioner-1003138066,0,?,Goers,Barbara Zee
practitioner-role-1003138066-169035,practitioner-1003138066,Practitioner/practitioner-1003138066,0,?,Goers,Barbara Zee
practitioner-role-1003138066-169036,practitioner-1003138066,Practitioner/practitioner-1003138066,0,?,Goers,Barbara Zee
practitioner-role-1003138066-169037,practitioner-1003138066,Practitioner/practitioner-1003138066,0,?,Goers,Barbara Zee
practitioner-role-1003138066-169038,practitioner-1003138066,Practitioner/practitioner-1003138066,0,?,Goers,Barbara Zee
practitioner-role-1003138868-19902,practitioner-1003138868,Practitioner/practitioner-1003138868,0,?,Champ,Colin E.
